Source,Target,Type,Id,Label,Weight
1,1,Undirected,6893,,1
1,2,Undirected,6894,,1
1,3,Undirected,6895,,1
1,4,Undirected,6896,,1
2,5,Undirected,6897,,1
2,6,Undirected,6898,,1
2,7,Undirected,6899,,1
2,8,Undirected,6900,,1
2,9,Undirected,6901,,1
2,10,Undirected,6902,,1
2,11,Undirected,6903,,1
2,12,Undirected,6904,,1
2,13,Undirected,6905,,1
2,14,Undirected,6906,,1
2,15,Undirected,6907,,1
2,16,Undirected,6908,,1
2,17,Undirected,6909,,1
2,18,Undirected,6910,,1
2,19,Undirected,6911,,1
2,20,Undirected,6912,,1
2,21,Undirected,6913,,1
2,22,Undirected,6914,,1
2,23,Undirected,6915,,1
2,24,Undirected,6916,,1
2,25,Undirected,6917,,1
2,26,Undirected,6918,,1
3,27,Undirected,6919,,1
4,24,Undirected,6920,,1
5,19,Undirected,6921,,1
6,28,Undirected,6922,,1
7,29,Undirected,6923,,1
8,30,Undirected,6924,,1
9,31,Undirected,6925,,1
10,32,Undirected,6926,,1
10,33,Undirected,6927,,2
10,34,Undirected,6928,,1
10,35,Undirected,6929,,1
10,36,Undirected,6930,,1
10,37,Undirected,6931,,1
10,38,Undirected,6932,,1
10,39,Undirected,6933,,1
11,31,Undirected,6934,,1
12,40,Undirected,6935,,1
12,41,Undirected,6936,,1
12,42,Undirected,6937,,1
13,42,Undirected,6938,,1
14,42,Undirected,6939,,1
15,43,Undirected,6940,,1
16,44,Undirected,6941,,1
17,45,Undirected,6942,,1
17,46,Undirected,6943,,1
17,47,Undirected,6944,,1
17,48,Undirected,6945,,1
17,49,Undirected,6946,,1
18,50,Undirected,6947,,1
19,51,Undirected,6948,,1
20,51,Undirected,6949,,1
21,52,Undirected,6950,,1
21,53,Undirected,6951,,1
22,54,Undirected,6952,,1
23,55,Undirected,6953,,1
24,56,Undirected,6954,,1
25,56,Undirected,6955,,1
26,57,Undirected,6956,,1
27,58,Undirected,6957,,1
28,59,Undirected,6958,,1
29,60,Undirected,6959,,1
30,61,Undirected,6960,,1
31,62,Undirected,6961,,1
32,63,Undirected,6962,,1
33,8,Undirected,6963,,1
34,64,Undirected,6965,,1
35,63,Undirected,6966,,1
36,65,Undirected,6967,,1
37,66,Undirected,6968,,1
37,67,Undirected,6969,,1
37,65,Undirected,6970,,1
37,68,Undirected,6971,,1
37,69,Undirected,6972,,1
37,70,Undirected,6973,,1
37,71,Undirected,6974,,1
37,72,Undirected,6975,,1
38,73,Undirected,6976,,1
39,22,Undirected,6977,,1
40,74,Undirected,6978,,1
40,75,Undirected,6979,,1
41,76,Undirected,6980,,1
41,75,Undirected,6981,,1
42,30,Undirected,6982,,1
43,77,Undirected,6983,,1
44,78,Undirected,6984,,1
45,79,Undirected,6985,,1
45,80,Undirected,6986,,1
46,81,Undirected,6987,,1
46,82,Undirected,6988,,1
47,83,Undirected,6989,,1
48,84,Undirected,6990,,1
48,24,Undirected,6991,,1
49,85,Undirected,6992,,1
50,86,Undirected,6993,,1
51,87,Undirected,6994,,1
51,88,Undirected,6995,,1
51,89,Undirected,6996,,1
51,90,Undirected,6997,,1
51,91,Undirected,6998,,1
51,92,Undirected,6999,,1
52,93,Undirected,7000,,1
53,94,Undirected,7001,,1
54,95,Undirected,7002,,1
54,96,Undirected,7003,,1
54,97,Undirected,7004,,1
54,94,Undirected,7005,,1
55,79,Undirected,7006,,1
56,98,Undirected,7007,,1
56,99,Undirected,7008,,1
56,100,Undirected,7009,,1
56,101,Undirected,7010,,1
56,102,Undirected,7011,,1
56,103,Undirected,7012,,1
56,34,Undirected,7013,,1
56,104,Undirected,7014,,1
56,105,Undirected,7015,,1
56,106,Undirected,7016,,1
56,107,Undirected,7017,,1
56,108,Undirected,7018,,1
56,109,Undirected,7019,,1
56,110,Undirected,7020,,1
57,50,Undirected,7021,,1
57,104,Undirected,7022,,1
57,108,Undirected,7023,,1
58,50,Undirected,7024,,1
58,108,Undirected,7025,,1
59,110,Undirected,7026,,1
60,111,Undirected,7027,,1
61,112,Undirected,7028,,1
62,113,Undirected,7029,,1
62,114,Undirected,7030,,1
62,115,Undirected,7031,,1
62,116,Undirected,7032,,1
62,117,Undirected,7033,,1
62,64,Undirected,7034,,1
63,118,Undirected,7035,,1
64,119,Undirected,7036,,1
65,120,Undirected,7037,,1
66,36,Undirected,7038,,1
67,12,Undirected,7039,,1
67,15,Undirected,7040,,1
67,16,Undirected,7041,,1
67,20,Undirected,7042,,1
68,121,Undirected,7043,,1
69,35,Undirected,7044,,1
70,35,Undirected,7045,,1
71,73,Undirected,7046,,1
72,122,Undirected,7047,,1
73,28,Undirected,7048,,1
73,43,Undirected,7049,,1
74,123,Undirected,7050,,1
74,122,Undirected,7051,,1
74,124,Undirected,7052,,1
74,125,Undirected,7053,,1
74,90,Undirected,7054,,1
74,91,Undirected,7055,,1
74,110,Undirected,7056,,1
75,126,Undirected,7057,,1
76,95,Undirected,7058,,1
77,98,Undirected,7059,,1
77,127,Undirected,7060,,1
78,128,Undirected,7061,,1
78,129,Undirected,7062,,1
79,130,Undirected,7063,,1
79,131,Undirected,7064,,1
79,132,Undirected,7065,,1
79,133,Undirected,7066,,1
79,134,Undirected,7067,,1
79,135,Undirected,7068,,1
80,78,Undirected,7069,,1
81,39,Undirected,7070,,1
82,136,Undirected,7071,,1
82,39,Undirected,7072,,1
82,57,Undirected,7073,,1
83,137,Undirected,7074,,1
84,138,Undirected,7075,,1
85,139,Undirected,7076,,1
86,140,Undirected,7077,,1
87,141,Undirected,7078,,1
87,142,Undirected,7079,,1
87,143,Undirected,7080,,1
87,144,Undirected,7081,,1
88,126,Undirected,7082,,1
88,145,Undirected,7083,,1
88,146,Undirected,7084,,1
88,147,Undirected,7085,,1
88,148,Undirected,7086,,1
88,149,Undirected,7087,,1
88,75,Undirected,7088,,1
88,72,Undirected,7089,,1
89,150,Undirected,7090,,1
89,146,Undirected,7091,,1
89,148,Undirected,7092,,1
90,20,Undirected,7093,,1
91,46,Undirected,7094,,1
92,151,Undirected,7095,,1
93,3,Undirected,7096,,1
94,152,Undirected,7097,,1
95,95,Undirected,7098,,1
96,92,Undirected,7099,,1
97,28,Undirected,7100,,1
97,43,Undirected,7101,,1
98,153,Undirected,7102,,1
99,154,Undirected,7103,,1
100,155,Undirected,7104,,1
101,155,Undirected,7105,,1
101,70,Undirected,7106,,1
102,156,Undirected,7107,,1
103,157,Undirected,7108,,1
104,158,Undirected,7109,,1
104,159,Undirected,7110,,1
105,160,Undirected,7111,,1
106,161,Undirected,7112,,1
106,58,Undirected,7113,,1
106,157,Undirected,7114,,1
107,162,Undirected,7115,,1
108,163,Undirected,7116,,1
108,164,Undirected,7117,,1
108,165,Undirected,7118,,1
108,166,Undirected,7119,,1
108,167,Undirected,7120,,1
108,168,Undirected,7121,,1
109,165,Undirected,7122,,1
110,169,Undirected,7123,,1
111,169,Undirected,7124,,1
112,170,Undirected,7125,,1
112,171,Undirected,7126,,1
112,90,Undirected,7127,,1
112,172,Undirected,7128,,1
113,80,Undirected,7129,,1
114,28,Undirected,7130,,1
114,95,Undirected,7131,,1
115,173,Undirected,7132,,1
115,174,Undirected,7133,,1
115,175,Undirected,7134,,1
115,176,Undirected,7135,,1
115,177,Undirected,7136,,1
115,178,Undirected,7137,,1
115,179,Undirected,7138,,1
115,180,Undirected,7139,,1
115,181,Undirected,7140,,1
116,88,Undirected,7141,,1
117,182,Undirected,7142,,1
117,183,Undirected,7143,,1
118,184,Undirected,7144,,1
119,184,Undirected,7145,,1
119,185,Undirected,7146,,1
120,186,Undirected,7147,,1
121,65,Undirected,7148,,1
122,187,Undirected,7149,,1
123,188,Undirected,7150,,1
124,189,Undirected,7151,,1
125,190,Undirected,7152,,1
126,191,Undirected,7153,,1
127,192,Undirected,7154,,1
128,193,Undirected,7155,,1
128,194,Undirected,7156,,1
128,195,Undirected,7157,,1
128,196,Undirected,7158,,1
128,110,Undirected,7159,,1
128,197,Undirected,7160,,1
129,193,Undirected,7161,,1
129,198,Undirected,7162,,1
129,199,Undirected,7163,,1
129,200,Undirected,7164,,1
129,186,Undirected,7165,,1
130,36,Undirected,7166,,1
131,201,Undirected,7167,,1
131,189,Undirected,7168,,1
131,202,Undirected,7169,,1
131,203,Undirected,7170,,1
132,182,Undirected,7171,,1
133,204,Undirected,7172,,1
134,204,Undirected,7173,,1
135,205,Undirected,7174,,1
136,206,Undirected,7175,,1
137,207,Undirected,7176,,1
138,208,Undirected,7177,,1
139,38,Undirected,7178,,1
140,158,Undirected,7179,,1
141,209,Undirected,7180,,1
142,210,Undirected,7181,,1
143,130,Undirected,7182,,1
144,211,Undirected,7183,,1
145,62,Undirected,7184,,1
145,152,Undirected,7185,,1
146,212,Undirected,7186,,1
146,213,Undirected,7187,,1
146,214,Undirected,7188,,1
146,62,Undirected,7189,,1
146,152,Undirected,7190,,1
146,215,Undirected,7191,,1
146,216,Undirected,7192,,1
146,217,Undirected,7193,,1
147,218,Undirected,7194,,1
148,219,Undirected,7195,,1
149,153,Undirected,7196,,1
150,187,Undirected,7197,,1
151,172,Undirected,7198,,1
152,220,Undirected,7199,,1
152,189,Undirected,7200,,1
152,139,Undirected,7201,,1
153,221,Undirected,7202,,1
154,39,Undirected,7203,,1
155,222,Undirected,7204,,1
155,223,Undirected,7205,,1
155,224,Undirected,7206,,1
155,199,Undirected,7207,,1
155,200,Undirected,7208,,1
156,56,Undirected,7209,,1
157,152,Undirected,7210,,1
158,225,Undirected,7211,,1
159,101,Undirected,7212,,1
159,207,Undirected,7213,,1
159,226,Undirected,7214,,1
159,227,Undirected,7215,,1
159,228,Undirected,7216,,1
159,229,Undirected,7217,,1
159,230,Undirected,7218,,1
160,207,Undirected,7219,,1
161,147,Undirected,7220,,1
162,231,Undirected,7221,,1
162,39,Undirected,7222,,1
163,86,Undirected,7223,,1
164,232,Undirected,7224,,1
165,111,Undirected,7225,,1
166,116,Undirected,7226,,1
167,233,Undirected,7227,,1
167,39,Undirected,7228,,1
168,234,Undirected,7229,,1
169,235,Undirected,7230,,1
170,161,Undirected,7231,,1
171,102,Undirected,7232,,1
171,236,Undirected,7233,,1
172,237,Undirected,7234,,1
173,238,Undirected,7235,,1
174,222,Undirected,7236,,1
174,223,Undirected,7237,,1
174,239,Undirected,7238,,1
174,240,Undirected,7239,,1
175,228,Undirected,7240,,1
176,151,Undirected,7241,,1
177,56,Undirected,7242,,1
178,43,Undirected,7243,,1
179,241,Undirected,7244,,1
180,165,Undirected,7245,,1
181,242,Undirected,7246,,1
182,215,Undirected,7247,,1
183,243,Undirected,7248,,1
184,232,Undirected,7249,,1
184,72,Undirected,7250,,1
185,43,Undirected,7251,,1
186,22,Undirected,7252,,1
187,216,Undirected,7253,,1
188,244,Undirected,7254,,1
189,245,Undirected,7255,,1
190,246,Undirected,7256,,1
190,247,Undirected,7257,,1
190,126,Undirected,7258,,1
190,248,Undirected,7259,,1
190,249,Undirected,7260,,1
190,250,Undirected,7261,,1
191,57,Undirected,7262,,1
192,251,Undirected,7263,,1
193,252,Undirected,7264,,1
194,253,Undirected,7265,,1
195,60,Undirected,7266,,1
196,60,Undirected,7267,,1
197,254,Undirected,7268,,1
198,212,Undirected,7269,,1
199,255,Undirected,7270,,1
199,256,Undirected,7271,,1
200,72,Undirected,7272,,1
201,257,Undirected,7273,,1
202,245,Undirected,7274,,1
202,218,Undirected,7275,,1
202,140,Undirected,7276,,1
203,258,Undirected,7277,,1
204,259,Undirected,7278,,1
205,98,Undirected,7279,,1
206,225,Undirected,7280,,1
207,260,Undirected,7281,,1
208,155,Undirected,7282,,1
209,261,Undirected,7283,,1
210,225,Undirected,7284,,1
211,14,Undirected,7285,,1
212,238,Undirected,7286,,1
213,262,Undirected,7287,,1
214,263,Undirected,7288,,1
214,27,Undirected,7289,,1
214,264,Undirected,7290,,1
214,265,Undirected,7291,,1
214,266,Undirected,7292,,1
214,238,Undirected,7293,,1
214,267,Undirected,7294,,1
215,268,Undirected,7295,,1
216,264,Undirected,7296,,1
216,268,Undirected,7297,,1
216,267,Undirected,7298,,1
217,269,Undirected,7299,,1
218,270,Undirected,7300,,1
219,153,Undirected,7301,,1
219,270,Undirected,7302,,1
219,271,Undirected,7303,,1
220,119,Undirected,7304,,1
220,272,Undirected,7305,,1
220,273,Undirected,7306,,1
220,274,Undirected,7307,,1
220,275,Undirected,7308,,1
220,276,Undirected,7309,,1
220,277,Undirected,7310,,1
220,278,Undirected,7311,,1
220,279,Undirected,7312,,1
220,280,Undirected,7313,,1
220,281,Undirected,7314,,1
220,282,Undirected,7315,,1
220,283,Undirected,7316,,1
220,284,Undirected,7317,,1
220,285,Undirected,7318,,1
220,286,Undirected,7319,,1
220,287,Undirected,7320,,1
221,288,Undirected,7321,,1
221,81,Undirected,7322,,1
221,289,Undirected,7323,,1
221,290,Undirected,7324,,1
222,291,Undirected,7325,,1
223,6,Undirected,7326,,1
224,39,Undirected,7327,,1
225,32,Undirected,7328,,1
225,292,Undirected,7329,,1
225,39,Undirected,7330,,1
226,293,Undirected,7331,,1
227,294,Undirected,7332,,1
228,295,Undirected,7333,,1
229,296,Undirected,7334,,1
230,225,Undirected,7335,,1
231,297,Undirected,7336,,1
232,297,Undirected,7337,,1
233,116,Undirected,7338,,1
234,97,Undirected,7339,,1
235,97,Undirected,7340,,1
236,298,Undirected,7341,,1
237,299,Undirected,7342,,1
238,300,Undirected,7343,,1
239,78,Undirected,7344,,1
240,301,Undirected,7345,,1
241,302,Undirected,7346,,1
242,303,Undirected,7347,,1
242,138,Undirected,7348,,1
242,304,Undirected,7349,,1
242,305,Undirected,7350,,1
242,284,Undirected,7351,,1
243,173,Undirected,7352,,1
243,306,Undirected,7353,,1
244,155,Undirected,7354,,1
244,75,Undirected,7355,,1
245,307,Undirected,7356,,1
245,308,Undirected,7357,,1
245,309,Undirected,7358,,1
246,112,Undirected,7359,,1
247,310,Undirected,7360,,1
247,232,Undirected,7361,,1
248,311,Undirected,7362,,1
249,204,Undirected,7363,,1
249,312,Undirected,7364,,1
250,43,Undirected,7365,,1
251,298,Undirected,7366,,1
252,225,Undirected,7367,,1
253,313,Undirected,7368,,1
253,314,Undirected,7369,,1
254,271,Undirected,7370,,1
255,138,Undirected,7371,,1
256,161,Undirected,7372,,1
257,315,Undirected,7373,,1
258,316,Undirected,7374,,1
259,317,Undirected,7375,,1
260,152,Undirected,7376,,1
261,318,Undirected,7377,,1
262,114,Undirected,7378,,1
263,319,Undirected,7379,,1
264,263,Undirected,7380,,1
264,282,Undirected,7381,,1
265,320,Undirected,7382,,1
266,321,Undirected,7383,,1
267,322,Undirected,7384,,1
267,323,Undirected,7385,,1
268,324,Undirected,7386,,1
269,146,Undirected,7387,,1
269,240,Undirected,7388,,1
270,206,Undirected,7389,,1
271,325,Undirected,7390,,1
272,47,Undirected,7391,,1
273,326,Undirected,7392,,1
274,46,Undirected,7393,,1
275,111,Undirected,7394,,1
276,225,Undirected,7395,,1
277,327,Undirected,7396,,1
277,296,Undirected,7397,,1
277,328,Undirected,7398,,1
277,329,Undirected,7399,,1
277,330,Undirected,7400,,1
277,331,Undirected,7401,,1
277,47,Undirected,7402,,1
278,95,Undirected,7403,,1
279,166,Undirected,7404,,1
280,332,Undirected,7405,,1
281,63,Undirected,7406,,1
282,33,Undirected,7407,,1
283,333,Undirected,7408,,1
283,251,Undirected,7409,,1
284,101,Undirected,7410,,1
284,229,Undirected,7411,,1
285,36,Undirected,7412,,1
286,24,Undirected,7413,,1
287,24,Undirected,7414,,1
288,334,Undirected,7415,,1
289,36,Undirected,7416,,1
290,225,Undirected,7417,,1
291,335,Undirected,7418,,1
291,334,Undirected,7419,,1
291,336,Undirected,7420,,1
291,337,Undirected,7421,,1
291,77,Undirected,7422,,1
291,46,Undirected,7423,,1
291,338,Undirected,7424,,1
292,339,Undirected,7425,,1
293,340,Undirected,7426,,1
294,248,Undirected,7427,,1
294,257,Undirected,7428,,1
295,175,Undirected,7429,,1
296,341,Undirected,7430,,1
297,341,Undirected,7431,,1
297,107,Undirected,7432,,1
298,341,Undirected,7433,,1
299,30,Undirected,7434,,1
299,77,Undirected,7435,,1
300,26,Undirected,7436,,1
301,255,Undirected,7437,,1
302,50,Undirected,7438,,1
303,104,Undirected,7439,,1
303,107,Undirected,7440,,1
303,108,Undirected,7441,,1
304,78,Undirected,7442,,1
304,314,Undirected,7443,,1
304,342,Undirected,7444,,1
304,23,Undirected,7445,,1
305,313,Undirected,7446,,1
305,14,Undirected,7447,,1
306,43,Undirected,7448,,1
307,181,Undirected,7449,,1
308,343,Undirected,7450,,1
309,17,Undirected,7451,,1
310,344,Undirected,7452,,1
311,161,Undirected,7453,,1
312,345,Undirected,7454,,1
313,169,Undirected,7455,,1
313,346,Undirected,7456,,1
314,343,Undirected,7457,,1
315,347,Undirected,7458,,1
315,348,Undirected,7459,,1
316,71,Undirected,7460,,1
317,217,Undirected,7461,,1
318,293,Undirected,7462,,1
319,82,Undirected,7463,,1
320,11,Undirected,7464,,1
321,301,Undirected,7465,,1
322,332,Undirected,7466,,1
323,349,Undirected,7467,,1
324,300,Undirected,7468,,1
325,350,Undirected,7469,,1
326,67,Undirected,7470,,1
326,65,Undirected,7471,,1
327,269,Undirected,7472,,1
328,69,Undirected,7473,,1
329,248,Undirected,7474,,1
330,136,Undirected,7475,,1
331,258,Undirected,7476,,1
331,39,Undirected,7477,,1
332,39,Undirected,7478,,1
333,351,Undirected,7479,,1
333,352,Undirected,7480,,1
333,117,Undirected,7481,,1
333,353,Undirected,7482,,1
334,241,Undirected,7483,,1
334,322,Undirected,7484,,1
335,40,Undirected,7485,,1
335,151,Undirected,7486,,1
336,40,Undirected,7487,,1
336,354,Undirected,7488,,1
336,322,Undirected,7489,,1
336,355,Undirected,7490,,1
336,356,Undirected,7491,,1
336,357,Undirected,7492,,1
336,46,Undirected,7493,,1
336,358,Undirected,7494,,1
336,4,Undirected,7495,,1
337,67,Undirected,7496,,1
338,14,Undirected,7497,,1
338,25,Undirected,7498,,1
339,161,Undirected,7499,,1
340,161,Undirected,7500,,1
341,359,Undirected,7501,,1
342,360,Undirected,7502,,1
343,300,Undirected,7503,,1
343,111,Undirected,7504,,1
343,361,Undirected,7505,,1
343,39,Undirected,7506,,1
344,362,Undirected,7507,,1
344,363,Undirected,7508,,1
344,315,Undirected,7509,,1
344,364,Undirected,7510,,1
344,365,Undirected,7511,,1
345,366,Undirected,7512,,1
345,367,Undirected,7513,,1
345,340,Undirected,7514,,1
345,368,Undirected,7515,,1
346,95,Undirected,7516,,1
347,52,Undirected,7517,,1
348,68,Undirected,7518,,1
349,290,Undirected,7519,,1
350,369,Undirected,7520,,1
351,370,Undirected,7521,,1
351,129,Undirected,7522,,1
351,321,Undirected,7523,,1
351,371,Undirected,7524,,1
352,372,Undirected,7525,,1
352,302,Undirected,7526,,1
352,373,Undirected,7527,,1
353,374,Undirected,7528,,1
354,375,Undirected,7529,,1
354,376,Undirected,7530,,1
355,162,Undirected,7531,,1
356,79,Undirected,7532,,1
356,187,Undirected,7533,,1
356,377,Undirected,7534,,1
356,14,Undirected,7535,,1
356,80,Undirected,7536,,1
356,23,Undirected,7537,,1
356,378,Undirected,7538,,1
356,379,Undirected,7539,,1
356,162,Undirected,7540,,1
356,380,Undirected,7541,,1
356,206,Undirected,7542,,1
357,266,Undirected,7543,,1
357,381,Undirected,7544,,1
358,217,Undirected,7545,,1
359,279,Undirected,7546,,1
360,24,Undirected,7547,,1
361,14,Undirected,7548,,1
361,19,Undirected,7549,,1
362,220,Undirected,7550,,1
362,115,Undirected,7551,,1
362,319,Undirected,7552,,1
363,61,Undirected,7553,,1
363,382,Undirected,7554,,1
363,109,Undirected,7555,,1
364,152,Undirected,7556,,1
365,43,Undirected,7557,,1
365,383,Undirected,7558,,1
366,36,Undirected,7559,,1
367,251,Undirected,7560,,1
368,87,Undirected,7561,,1
369,211,Undirected,7562,,1
370,384,Undirected,7563,,1
370,211,Undirected,7564,,1
370,385,Undirected,7565,,1
371,386,Undirected,7566,,1
371,387,Undirected,7567,,1
372,301,Undirected,7568,,1
373,388,Undirected,7569,,1
374,33,Undirected,7570,,1
375,282,Undirected,7571,,1
376,60,Undirected,7572,,1
377,88,Undirected,7573,,1
378,263,Undirected,7574,,1
379,389,Undirected,7575,,1
380,390,Undirected,7576,,1
381,391,Undirected,7577,,1
381,86,Undirected,7578,,1
381,158,Undirected,7579,,1
381,392,Undirected,7580,,1
381,393,Undirected,7581,,1
381,394,Undirected,7582,,1
382,391,Undirected,7583,,1
383,392,Undirected,7584,,1
384,83,Undirected,7585,,1
384,154,Undirected,7586,,1
384,343,Undirected,7587,,1
384,269,Undirected,7588,,1
384,262,Undirected,7589,,1
384,353,Undirected,7590,,1
385,372,Undirected,7591,,1
386,161,Undirected,7592,,1
387,236,Undirected,7593,,1
388,395,Undirected,7594,,1
389,181,Undirected,7595,,1
390,396,Undirected,7596,,1
391,206,Undirected,7597,,1
392,277,Undirected,7598,,1
392,397,Undirected,7599,,1
392,398,Undirected,7600,,1
393,397,Undirected,7601,,1
394,399,Undirected,7602,,1
395,400,Undirected,7603,,1
396,401,Undirected,7604,,1
396,93,Undirected,7605,,1
396,402,Undirected,7606,,1
396,188,Undirected,7607,,1
396,110,Undirected,7608,,1
397,153,Undirected,7609,,1
397,403,Undirected,7610,,1
397,188,Undirected,7611,,1
397,332,Undirected,7612,,1
398,138,Undirected,7613,,1
398,304,Undirected,7614,,1
399,232,Undirected,7615,,1
400,46,Undirected,7616,,1
400,404,Undirected,7617,,1
401,24,Undirected,7618,,1
402,405,Undirected,7619,,1
403,406,Undirected,7620,,1
404,407,Undirected,7621,,1
404,408,Undirected,7622,,1
404,189,Undirected,7623,,1
404,55,Undirected,7624,,1
404,169,Undirected,7625,,1
404,51,Undirected,7626,,1
404,409,Undirected,7627,,1
404,73,Undirected,7628,,1
404,405,Undirected,7629,,1
404,406,Undirected,7630,,1
405,410,Undirected,7631,,1
405,55,Undirected,7632,,1
405,169,Undirected,7633,,1
